head_node	tail_node	length	geo_distance	head_lat_3395	head_long_3395	tail_lat_3395	tail_long_3395	head_lat_4326	head_long_4326	tail_lat_4326	tail_long_4326	head_comuna	head_comuna_amb	tail_comuna	tail_comuna_amb	head_date	head_dec_date	tail_date	tail_dec_date
34	36	0.030814000000000008	25.503028007344465	-5632908.661288963	-7999637.263374881	-5598139.550854137	-8009320.890259769	-45.26459893863974	-71.86196421101717	-45.04360085568983	-71.94895371138122	Coihaique	False	Coihaique	False	2021-06-11	2021.443283	2021-06-23	2021.474097
12	34	0.14406900000000006	34.578099530895756	-5681171.999215108	-8008977.815394222	-5632908.661288963	-7999637.263374881	-45.569938681807834	-71.94587181742804	-45.26459893863974	-71.86196421101717	Coihaique	False	Coihaique	False	2021-04-20	2021.2992140000001	2021-06-11	2021.443283
11	12	0.0039759999999999796	3.3363855070255695	-5680058.109437046	-8013616.125517011	-5681171.999215108	-8008977.815394222	-45.56291035376651	-71.98753846618592	-45.569938681807834	-71.94587181742804	Coihaique	False	Coihaique	False	2021-04-18	2021.295238	2021-04-20	2021.2992140000001
40	41	0.012050999999999978	10.306131865620397	-5670297.9914127905	-8035501.994879224	-5680469.678285146	-8046122.706294074	-45.50128892369363	-72.18414257572911	-45.56550733937625	-72.27955004965094	Coihaique	False	Coihaique	False	2021-05-05	2021.3414970000001	2021-05-10	2021.353548
40	42	0.031229000000000007	12.004489227073622	-5670297.9914127905	-8035501.994879224	-5655255.9211276	-8027393.772243267	-45.50128892369363	-72.18414257572911	-45.406186299518474	-72.11130517251988	Coihaique	False	Coihaique	False	2021-05-05	2021.3414970000001	2021-05-17	2021.372726
39	40	0.00015700000000001824	0.20106604553355154	-5670465.19161506	-8035268.885966309	-5670297.9914127905	-8035501.994879224	-45.50234513017068	-72.18204852273576	-45.50128892369363	-72.18414257572911	Coihaique	False	Coihaique	False	2021-05-05	2021.34134	2021-05-05	2021.3414970000001
39	43	0.15193400000000007	60.37596520309354	-5670465.19161506	-8035268.885966309	-5641057.936398657	-8116153.331751866	-45.50234513017068	-72.18204852273576	-45.316272248495586	-72.90864586170278	Coihaique	False	Aisen	False	2021-05-05	2021.34134	2021-06-30	2021.493274
38	39	0.009951999999999961	4.306185681260524	-5673585.638048646	-8029973.18125854	-5670465.19161506	-8035268.885966309	-45.52205338292626	-72.13447639794403	-45.50234513017068	-72.18204852273576	Coihaique	False	Coihaique	False	2021-05-01	2021.331388	2021-05-05	2021.34134
38	44	0.00846199999999997	992.4431500229707	-5673585.638048646	-8029973.18125854	-4360385.9571654275	-8119183.853620242	-45.52205338292626	-72.13447639794403	-36.61713505731911	-72.93586950283499	Coihaique	False	Tome	False	2021-05-01	2021.331388	2021-05-05	2021.33985
37	38	0.023926000000000003	7.042218592865315	-5679066.413633812	-8021542.432051976	-5673585.638048646	-8029973.18125854	-45.556652290159995	-72.05874168925568	-45.52205338292626	-72.13447639794403	Coihaique	False	Coihaique	False	2021-04-23	2021.307462	2021-05-01	2021.331388
37	45	0.01321	1.3575590045672468	-5679066.413633812	-8021542.432051976	-5680972.014187939	-8021878.371677686	-45.556652290159995	-72.05874168925568	-45.568676898295784	-72.06175948625885	Coihaique	False	Coihaique	False	2021-04-23	2021.307462	2021-04-28	2021.320672
11	37	0.012224000000000013	5.5870142637409295	-5680058.109437046	-8013616.125517011	-5679066.413633812	-8021542.432051976	-45.56291035376651	-71.98753846618592	-45.556652290159995	-72.05874168925568	Coihaique	False	Coihaique	False	2021-04-18	2021.295238	2021-04-23	2021.307462
10	11	0.09107300000000002	1369.3218093017067	-3909556.423334988	-7878618.816530217	-5680058.109437046	-8013616.125517011	-33.283570314841285	-70.7748370064075	-45.56291035376651	-71.98753846618592	Colina	False	Coihaique	False	2021-03-16	2021.2041649999999	2021-04-18	2021.295238
10	46	0.0014390000000000236	4.566289508907085	-3909556.423334988	-7878618.816530217	-3904129.8289631642	-7878214.493215167	-33.283570314841285	-70.7748370064075	-33.24261714236274	-70.77120490827114	Colina	False	Colina	False	2021-03-16	2021.2041649999999	2021-03-17	2021.205604
9	10	0.00010799999999999699	1.1796626729731399	-3910958.290085791	-7878729.434587978	-3909556.423334988	-7878618.816530217	-33.294146707677086	-70.77583070532737	-33.283570314841285	-70.7748370064075	Colina	False	Colina	False	2021-03-16	2021.2040570000001	2021-03-16	2021.2041649999999
48	49	0.0016390000000000016	654.7902384416998	-3940649.0876892745	-7866913.565144236	-4734287.827487931	-8037350.8569821585	-33.51784487681455	-70.66968694416262	-39.27640787038557	-72.20075118658207	Puente Alto	False	Villarrica	False	2021-08-09	2021.603965	2021-08-10	2021.605604
