crossing,commune,region,by,type,year,month,value
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,exit,2021,enero,0
Puerto Penco,Penco,Bío Bío,sea,exit,2021,enero,0
Puerto Quintero,Quintero,Valparaíso,sea,exit,2021,enero,24
Puerto San Antonio,San Antonio,Valparaíso,sea,exit,2021,enero,691
Puerto San Vicente,Talcahuano,Biobío,sea,exit,2021,enero,291
Puerto Talcahuano,Talcahuano,Biobío,sea,exit,2021,enero,112
Puerto Tocopilla,Tocopilla,Antofagasta,sea,exit,2021,enero,0
Puerto Valdivia,Valdivia,Los Ríos,sea,exit,2021,enero,4
Puerto Valparaiso,Valparaíso,Valparaíso,sea,exit,2021,enero,203
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,exit,2021,enero,3
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,exit,2021,enero,0
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,exit,2021,enero,135
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,entry,2021,febrero,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,entry,2021,febrero,327
Aeropuerto Araucania,Temuco,La Araucanía,air,entry,2021,febrero,0
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,entry,2021,febrero,0
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,entry,2021,febrero,4
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,entry,2021,febrero,26
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,entry,2021,febrero,2
Aeropuerto Iquique,Iquique,Tarapacá,air,entry,2021,febrero,228
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,entry,2021,febrero,44
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,entry,2021,febrero,"93,252"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,entry,2021,febrero,0
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,entry,2021,febrero,"6,581"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,entry,2021,febrero,"3,245"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,entry,2021,febrero,4
Huemules/Balmaceda/,Coyhaique,Aysén,land,entry,2021,febrero,549
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,entry,2021,febrero,"1,230"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,entry,2021,febrero,"2,166"
Paso De Chile Chico,Chile Chico,Aysén,land,entry,2021,febrero,52
Paso Jama,San Pedro de Atacama,Antofagasta,land,entry,2021,febrero,0
Paso Los Libertadores,Los Andes,Valparaíso,land,entry,2021,febrero,"11,113"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,entry,2021,febrero,"13,168"
Paso Pehuenche,Curicó,Maule,land,entry,2021,febrero,29
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,entry,2021,febrero,"1,926"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,entry,2021,febrero,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,entry,2021,febrero,0
Paso San Francisco - Copiapo,Copiapó,Atacama,land,entry,2021,febrero,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,entry,2021,febrero,"9,143"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,entry,2021,febrero,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,entry,2021,febrero,761
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,entry,2021,febrero,0
Caleta Patillos,Iquique,Tarapacá,sea,entry,2021,febrero,42
Puerto Angamos,Mejillones,Antofagasta,sea,entry,2021,febrero,235
Puerto Antofagasta,Antofagasta,Antofagasta,sea,entry,2021,febrero,41
Puerto Arica,Arica,Arica y Parinacota,sea,entry,2021,febrero,169
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,entry,2021,febrero,87
Puerto Calbuco,Calbuco,Los Lagos,sea,entry,2021,febrero,77
Puerto Caldera - Copiapo,Caldera,Atacama,sea,entry,2021,febrero,0
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,entry,2021,febrero,0
Puerto Coloso,Antofagasta,Antofagasta,sea,entry,2021,febrero,20
Puerto Coquimbo,Coquimbo,Coquimbo,sea,entry,2021,febrero,63
Puerto Coronel,Coronel,Bío Bío,sea,entry,2021,febrero,0
Puerto De Corral,Corral,Los Ríos,sea,entry,2021,febrero,21
Puerto Iquique,Iquique,Tarapacá,sea,entry,2021,febrero,229
Puerto Lirquen,Penco,Bío Bío,sea,entry,2021,febrero,17
Puerto Mejillones,Mejillones,Antofagasta,sea,entry,2021,febrero,86
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,entry,2021,febrero,44
Puerto Penco,Penco,Bío Bío,sea,entry,2021,febrero,18
Puerto Quintero,Quintero,Valparaíso,sea,entry,2021,febrero,0
Puerto San Antonio,San Antonio,Valparaíso,sea,entry,2021,febrero,910
Puerto San Vicente,Talcahuano,Biobío,sea,entry,2021,febrero,160
Puerto Talcahuano,Talcahuano,Biobío,sea,entry,2021,febrero,106
Puerto Tocopilla,Tocopilla,Antofagasta,sea,entry,2021,febrero,38
Puerto Valdivia,Valdivia,Los Ríos,sea,entry,2021,febrero,1
Puerto Valparaiso,Valparaíso,Valparaíso,sea,entry,2021,febrero,207
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,entry,2021,febrero,1
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,entry,2021,febrero,0
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,entry,2021,febrero,393
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,exit,2021,febrero,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,exit,2021,febrero,208
Aeropuerto Araucania,Temuco,La Araucanía,air,exit,2021,febrero,0
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,exit,2021,febrero,0
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,exit,2021,febrero,16
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,exit,2021,febrero,20
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,exit,2021,febrero,8
Aeropuerto Iquique,Iquique,Tarapacá,air,exit,2021,febrero,322
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,exit,2021,febrero,0
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,exit,2021,febrero,"81,538"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,exit,2021,febrero,0
