crossing,commune,region,by,type,year,month,value
Puerto Antofagasta,Antofagasta,Antofagasta,sea,exit,2021,junio,0
Puerto Arica,Arica,Arica y Parinacota,sea,exit,2021,junio,25
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,exit,2021,junio,46
Puerto Calbuco,Calbuco,Los Lagos,sea,exit,2021,junio,20
Puerto Caldera - Copiapo,Caldera,Atacama,sea,exit,2021,junio,148
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,exit,2021,junio,0
Puerto Coloso,Antofagasta,Antofagasta,sea,exit,2021,junio,62
Puerto Coquimbo,Coquimbo,Coquimbo,sea,exit,2021,junio,41
Puerto Coronel,Coronel,Bío Bío,sea,exit,2021,junio,264
Puerto De Corral,Corral,Los Ríos,sea,exit,2021,junio,43
Puerto Iquique,Iquique,Tarapacá,sea,exit,2021,junio,114
Puerto Lirquen,Penco,Bío Bío,sea,exit,2021,junio,118
Puerto Mejillones,Mejillones,Antofagasta,sea,exit,2021,junio,103
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,exit,2021,junio,70
Puerto Penco,Penco,Bío Bío,sea,exit,2021,junio,0
Puerto Quintero,Quintero,Valparaíso,sea,exit,2021,junio,0
Puerto San Antonio,San Antonio,Valparaíso,sea,exit,2021,junio,736
Puerto San Vicente,Talcahuano,Biobío,sea,exit,2021,junio,243
Puerto Talcahuano,Talcahuano,Biobío,sea,exit,2021,junio,109
Puerto Tocopilla,Tocopilla,Antofagasta,sea,exit,2021,junio,0
Puerto Valdivia,Valdivia,Los Ríos,sea,exit,2021,junio,0
Puerto Valparaiso,Valparaíso,Valparaíso,sea,exit,2021,junio,73
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,exit,2021,junio,0
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,exit,2021,junio,0
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,exit,2021,junio,41
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,entry,2021, julio,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,entry,2021, julio,238
Aeropuerto Araucania,Temuco,La Araucanía,air,entry,2021, julio,0
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,entry,2021, julio,0
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,entry,2021, julio,21
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,entry,2021, julio,0
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,entry,2021, julio,0
Aeropuerto Iquique,Iquique,Tarapacá,air,entry,2021, julio,176
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,entry,2021, julio,2
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,entry,2021, julio,"29,462"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,entry,2021, julio,0
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,entry,2021, julio,"7,782"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,entry,2021, julio,"4,117"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,entry,2021, julio,0
Huemules/Balmaceda/,Coyhaique,Aysén,land,entry,2021, julio,435
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,entry,2021, julio,"1,318"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,entry,2021, julio,"2,430"
Paso De Chile Chico,Chile Chico,Aysén,land,entry,2021, julio,9
Paso Jama,San Pedro de Atacama,Antofagasta,land,entry,2021, julio,"1,029"
Paso Los Libertadores,Los Andes,Valparaíso,land,entry,2021, julio,"20,552"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,entry,2021, julio,"5,867"
Paso Pehuenche,Curicó,Maule,land,entry,2021, julio,0
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,entry,2021, julio,"1,162"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,entry,2021, julio,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,entry,2021, julio,0
Paso San Francisco - Copiapo,Copiapó,Atacama,land,entry,2021, julio,4
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,entry,2021, julio,"5,201"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,entry,2021, julio,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,entry,2021, julio,955
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,entry,2021, julio,1
Caleta Patillos,Iquique,Tarapacá,sea,entry,2021, julio,116
Puerto Angamos,Mejillones,Antofagasta,sea,entry,2021, julio,191
Puerto Antofagasta,Antofagasta,Antofagasta,sea,entry,2021, julio,78
Puerto Arica,Arica,Arica y Parinacota,sea,entry,2021, julio,47
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,entry,2021, julio,43
Puerto Calbuco,Calbuco,Los Lagos,sea,entry,2021, julio,101
Puerto Caldera - Copiapo,Caldera,Atacama,sea,entry,2021, julio,106
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,entry,2021, julio,0
Puerto Coloso,Antofagasta,Antofagasta,sea,entry,2021, julio,38
Puerto Coquimbo,Coquimbo,Coquimbo,sea,entry,2021, julio,97
Puerto Coronel,Coronel,Bío Bío,sea,entry,2021, julio,224
Puerto De Corral,Corral,Los Ríos,sea,entry,2021, julio,22
Puerto Iquique,Iquique,Tarapacá,sea,entry,2021, julio,365
Puerto Lirquen,Penco,Bío Bío,sea,entry,2021, julio,194
Puerto Mejillones,Mejillones,Antofagasta,sea,entry,2021, julio,456
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,entry,2021, julio,42
Puerto Penco,Penco,Bío Bío,sea,entry,2021, julio,20
Puerto Quintero,Quintero,Valparaíso,sea,entry,2021, julio,51
Puerto San Antonio,San Antonio,Valparaíso,sea,entry,2021, julio,610
Puerto San Vicente,Talcahuano,Biobío,sea,entry,2021, julio,333
Puerto Talcahuano,Talcahuano,Biobío,sea,entry,2021, julio,129
Puerto Tocopilla,Tocopilla,Antofagasta,sea,entry,2021, julio,101
Puerto Valdivia,Valdivia,Los Ríos,sea,entry,2021, julio,0
Puerto Valparaiso,Valparaíso,Valparaíso,sea,entry,2021, julio,289
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,entry,2021, julio,0
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,entry,2021, julio,0
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,entry,2021, julio,0
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,exit,2021, julio,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,exit,2021, julio,106
Aeropuerto Araucania,Temuco,La Araucanía,air,exit,2021, julio,0
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,exit,2021, julio,0
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,exit,2021, julio,19
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,exit,2021, julio,0
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,exit,2021, julio,0
Aeropuerto Iquique,Iquique,Tarapacá,air,exit,2021, julio,187
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,exit,2021, julio,8
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,exit,2021, julio,"48,149"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,exit,2021, julio,0
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,exit,2021, julio,"6,655"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,exit,2021, julio,"4,107"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,exit,2021, julio,0
Huemules/Balmaceda/,Coyhaique,Aysén,land,exit,2021, julio,393
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,exit,2021, julio,"1,566"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,exit,2021, julio,"3,060"
Paso De Chile Chico,Chile Chico,Aysén,land,exit,2021, julio,9
Paso Jama,San Pedro de Atacama,Antofagasta,land,exit,2021, julio,966
Paso Los Libertadores,Los Andes,Valparaíso,land,exit,2021, julio,"21,366"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,exit,2021, julio,"6,666"
Paso Pehuenche,Curicó,Maule,land,exit,2021, julio,63
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,exit,2021, julio,"1,255"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,exit,2021, julio,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,exit,2021, julio,0
Paso San Francisco - Copiapo,Copiapó,Atacama,land,exit,2021, julio,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,exit,2021, julio,"4,389"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,exit,2021, julio,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,exit,2021, julio,740
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,exit,2021, julio,0
Caleta Patillos,Iquique,Tarapacá,sea,exit,2021, julio,179
Puerto Angamos,Mejillones,Antofagasta,sea,exit,2021, julio,96
Puerto Antofagasta,Antofagasta,Antofagasta,sea,exit,2021, julio,41
Puerto Arica,Arica,Arica y Parinacota,sea,exit,2021, julio,20
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,exit,2021, julio,57
Puerto Calbuco,Calbuco,Los Lagos,sea,exit,2021, julio,35
Puerto Caldera - Copiapo,Caldera,Atacama,sea,exit,2021, julio,126
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,exit,2021, julio,0
Puerto Coloso,Antofagasta,Antofagasta,sea,exit,2021, julio,81
Puerto Coquimbo,Coquimbo,Coquimbo,sea,exit,2021, julio,18
Puerto Coronel,Coronel,Bío Bío,sea,exit,2021, julio,242
Puerto De Corral,Corral,Los Ríos,sea,exit,2021, julio,23
Puerto Iquique,Iquique,Tarapacá,sea,exit,2021, julio,305
Puerto Lirquen,Penco,Bío Bío,sea,exit,2021, julio,185
Puerto Mejillones,Mejillones,Antofagasta,sea,exit,2021, julio,133
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,exit,2021, julio,140
Puerto Penco,Penco,Bío Bío,sea,exit,2021, julio,0
Puerto Quintero,Quintero,Valparaíso,sea,exit,2021, julio,0
Puerto San Antonio,San Antonio,Valparaíso,sea,exit,2021, julio,706
Puerto San Vicente,Talcahuano,Biobío,sea,exit,2021, julio,450
Puerto Talcahuano,Talcahuano,Biobío,sea,exit,2021, julio,204
Puerto Tocopilla,Tocopilla,Antofagasta,sea,exit,2021, julio,0
Puerto Valdivia,Valdivia,Los Ríos,sea,exit,2021, julio,0
Puerto Valparaiso,Valparaíso,Valparaíso,sea,exit,2021, julio,342
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,exit,2021, julio,0
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,exit,2021, julio,0
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,exit,2021, julio,68
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,entry,2021,agosto,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,entry,2021,agosto,30
Aeropuerto Araucania,Temuco,La Araucanía,air,entry,2021,agosto,0
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,entry,2021,agosto,0
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,entry,2021,agosto,4
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,entry,2021,agosto,0
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,entry,2021,agosto,0
Aeropuerto Iquique,Iquique,Tarapacá,air,entry,2021,agosto,134
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,entry,2021,agosto,1
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,entry,2021,agosto,"55,359"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,entry,2021,agosto,0
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,entry,2021,agosto,"9,176"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,entry,2021,agosto,"4,366"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,entry,2021,agosto,0
Huemules/Balmaceda/,Coyhaique,Aysén,land,entry,2021,agosto,521
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,entry,2021,agosto,"1,361"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,entry,2021,agosto,"2,466"
Paso De Chile Chico,Chile Chico,Aysén,land,entry,2021,agosto,26
Paso Jama,San Pedro de Atacama,Antofagasta,land,entry,2021,agosto,775
Paso Los Libertadores,Los Andes,Valparaíso,land,entry,2021,agosto,"17,577"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,entry,2021,agosto,"6,771"
Paso Pehuenche,Curicó,Maule,land,entry,2021,agosto,1
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,entry,2021,agosto,"1,210"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,entry,2021,agosto,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,entry,2021,agosto,0
Paso San Francisco - Copiapo,Copiapó,Atacama,land,entry,2021,agosto,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,entry,2021,agosto,"4,696"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,entry,2021,agosto,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,entry,2021,agosto,"1,178"
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,entry,2021,agosto,0
Caleta Patillos,Iquique,Tarapacá,sea,entry,2021,agosto,182
Puerto Angamos,Mejillones,Antofagasta,sea,entry,2021,agosto,196
Puerto Antofagasta,Antofagasta,Antofagasta,sea,entry,2021,agosto,76
Puerto Arica,Arica,Arica y Parinacota,sea,entry,2021,agosto,203
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,entry,2021,agosto,41
Puerto Calbuco,Calbuco,Los Lagos,sea,entry,2021,agosto,0
Puerto Caldera - Copiapo,Caldera,Atacama,sea,entry,2021,agosto,77
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,entry,2021,agosto,0
Puerto Coloso,Antofagasta,Antofagasta,sea,entry,2021,agosto,21
Puerto Coquimbo,Coquimbo,Coquimbo,sea,entry,2021,agosto,42
Puerto Coronel,Coronel,Bío Bío,sea,entry,2021,agosto,260
Puerto De Corral,Corral,Los Ríos,sea,entry,2021,agosto,0
Puerto Iquique,Iquique,Tarapacá,sea,entry,2021,agosto,493
Puerto Lirquen,Penco,Bío Bío,sea,entry,2021,agosto,205
Puerto Mejillones,Mejillones,Antofagasta,sea,entry,2021,agosto,263
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,entry,2021,agosto,22
Puerto Penco,Penco,Bío Bío,sea,entry,2021,agosto,109
Puerto Quintero,Quintero,Valparaíso,sea,entry,2021,agosto,72
Puerto San Antonio,San Antonio,Valparaíso,sea,entry,2021,agosto,526
Puerto San Vicente,Talcahuano,Biobío,sea,entry,2021,agosto,232
Puerto Talcahuano,Talcahuano,Biobío,sea,entry,2021,agosto,180
Puerto Tocopilla,Tocopilla,Antofagasta,sea,entry,2021,agosto,0
Puerto Valdivia,Valdivia,Los Ríos,sea,entry,2021,agosto,0
Puerto Valparaiso,Valparaíso,Valparaíso,sea,entry,2021,agosto,68
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,entry,2021,agosto,0
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,entry,2021,agosto,0
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,entry,2021,agosto,18
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,exit,2021,agosto,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,exit,2021,agosto,0
Aeropuerto Araucania,Temuco,La Araucanía,air,exit,2021,agosto,0
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,exit,2021,agosto,0
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,exit,2021,agosto,8
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,exit,2021,agosto,0
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,exit,2021,agosto,0
Aeropuerto Iquique,Iquique,Tarapacá,air,exit,2021,agosto,134
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,exit,2021,agosto,0
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,exit,2021,agosto,"81,961"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,exit,2021,agosto,0
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,exit,2021,agosto,"7,921"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,exit,2021,agosto,"4,573"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,exit,2021,agosto,0
Huemules/Balmaceda/,Coyhaique,Aysén,land,exit,2021,agosto,437
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,exit,2021,agosto,"1,658"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,exit,2021,agosto,"3,925"
Paso De Chile Chico,Chile Chico,Aysén,land,exit,2021,agosto,25
Paso Jama,San Pedro de Atacama,Antofagasta,land,exit,2021,agosto,560
Paso Los Libertadores,Los Andes,Valparaíso,land,exit,2021,agosto,"15,430"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,exit,2021,agosto,"6,177"
Paso Pehuenche,Curicó,Maule,land,exit,2021,agosto,33
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,exit,2021,agosto,"1,370"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,exit,2021,agosto,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,exit,2021,agosto,0
Paso San Francisco - Copiapo,Copiapó,Atacama,land,exit,2021,agosto,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,exit,2021,agosto,"5,084"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,exit,2021,agosto,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,exit,2021,agosto,"1,121"
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,exit,2021,agosto,0
Caleta Patillos,Iquique,Tarapacá,sea,exit,2021,agosto,240
Puerto Angamos,Mejillones,Antofagasta,sea,exit,2021,agosto,0
Puerto Antofagasta,Antofagasta,Antofagasta,sea,exit,2021,agosto,55
Puerto Arica,Arica,Arica y Parinacota,sea,exit,2021,agosto,188
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,exit,2021,agosto,60
Puerto Calbuco,Calbuco,Los Lagos,sea,exit,2021,agosto,0
Puerto Caldera - Copiapo,Caldera,Atacama,sea,exit,2021,agosto,60
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,exit,2021,agosto,0
Puerto Coloso,Antofagasta,Antofagasta,sea,exit,2021,agosto,41
Puerto Coquimbo,Coquimbo,Coquimbo,sea,exit,2021,agosto,20
Puerto Coronel,Coronel,Bío Bío,sea,exit,2021,agosto,241
Puerto De Corral,Corral,Los Ríos,sea,exit,2021,agosto,22
Puerto Iquique,Iquique,Tarapacá,sea,exit,2021,agosto,224
Puerto Lirquen,Penco,Bío Bío,sea,exit,2021,agosto,116
Puerto Mejillones,Mejillones,Antofagasta,sea,exit,2021,agosto,208
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,exit,2021,agosto,18
Puerto Penco,Penco,Bío Bío,sea,exit,2021,agosto,38
Puerto Quintero,Quintero,Valparaíso,sea,exit,2021,agosto,0
Puerto San Antonio,San Antonio,Valparaíso,sea,exit,2021,agosto,618
Puerto San Vicente,Talcahuano,Biobío,sea,exit,2021,agosto,423
Puerto Talcahuano,Talcahuano,Biobío,sea,exit,2021,agosto,244
Puerto Tocopilla,Tocopilla,Antofagasta,sea,exit,2021,agosto,0
Puerto Valdivia,Valdivia,Los Ríos,sea,exit,2021,agosto,0
Puerto Valparaiso,Valparaíso,Valparaíso,sea,exit,2021,agosto,111
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,exit,2021,agosto,0
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,exit,2021,agosto,0
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,exit,2021,agosto,18
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,entry,2021,septiembre,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,entry,2021,septiembre,20
Aeropuerto Araucania,Temuco,La Araucanía,air,entry,2021,septiembre,0
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,entry,2021,septiembre,1
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,entry,2021,septiembre,13
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,entry,2021,septiembre,0
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,entry,2021,septiembre,0
Aeropuerto Iquique,Iquique,Tarapacá,air,entry,2021,septiembre,94
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,entry,2021,septiembre,46
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,entry,2021,septiembre,"82,971"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,entry,2021,septiembre,1
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,entry,2021,septiembre,"8,971"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,entry,2021,septiembre,"4,444"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,entry,2021,septiembre,0
Huemules/Balmaceda/,Coyhaique,Aysén,land,entry,2021,septiembre,547
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,entry,2021,septiembre,"1,419"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,entry,2021,septiembre,"2,278"
Paso De Chile Chico,Chile Chico,Aysén,land,entry,2021,septiembre,37
Paso Jama,San Pedro de Atacama,Antofagasta,land,entry,2021,septiembre,"1,576"
Paso Los Libertadores,Los Andes,Valparaíso,land,entry,2021,septiembre,"22,638"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,entry,2021,septiembre,"6,940"
Paso Pehuenche,Curicó,Maule,land,entry,2021,septiembre,0
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,entry,2021,septiembre,738
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,entry,2021,septiembre,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,entry,2021,septiembre,22
Paso San Francisco - Copiapo,Copiapó,Atacama,land,entry,2021,septiembre,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,entry,2021,septiembre,"5,718"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,entry,2021,septiembre,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,entry,2021,septiembre,"1,521"
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,entry,2021,septiembre,0
Caleta Patillos,Iquique,Tarapacá,sea,entry,2021,septiembre,265
Puerto Angamos,Mejillones,Antofagasta,sea,entry,2021,septiembre,0
Puerto Antofagasta,Antofagasta,Antofagasta,sea,entry,2021,septiembre,0
Puerto Arica,Arica,Arica y Parinacota,sea,entry,2021,septiembre,46
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,entry,2021,septiembre,0
Puerto Calbuco,Calbuco,Los Lagos,sea,entry,2021,septiembre,20
Puerto Caldera - Copiapo,Caldera,Atacama,sea,entry,2021,septiembre,171
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,entry,2021,septiembre,0
Puerto Coloso,Antofagasta,Antofagasta,sea,entry,2021,septiembre,0
Puerto Coquimbo,Coquimbo,Coquimbo,sea,entry,2021,septiembre,123
Puerto Coronel,Coronel,Bío Bío,sea,entry,2021,septiembre,254
Puerto De Corral,Corral,Los Ríos,sea,entry,2021,septiembre,22
Puerto Iquique,Iquique,Tarapacá,sea,entry,2021,septiembre,451
Puerto Lirquen,Penco,Bío Bío,sea,entry,2021,septiembre,193
Puerto Mejillones,Mejillones,Antofagasta,sea,entry,2021,septiembre,0
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,entry,2021,septiembre,78
Puerto Penco,Penco,Bío Bío,sea,entry,2021,septiembre,0
Puerto Quintero,Quintero,Valparaíso,sea,entry,2021,septiembre,0
Puerto San Antonio,San Antonio,Valparaíso,sea,entry,2021,septiembre,398
Puerto San Vicente,Talcahuano,Biobío,sea,entry,2021,septiembre,85
Puerto Talcahuano,Talcahuano,Biobío,sea,entry,2021,septiembre,282
Puerto Tocopilla,Tocopilla,Antofagasta,sea,entry,2021,septiembre,0
Puerto Valdivia,Valdivia,Los Ríos,sea,entry,2021,septiembre,0
Puerto Valparaiso,Valparaíso,Valparaíso,sea,entry,2021,septiembre,0
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,entry,2021,septiembre,0
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,entry,2021,septiembre,0
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,entry,2021,septiembre,115
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,exit,2021,septiembre,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,exit,2021,septiembre,19
Aeropuerto Araucania,Temuco,La Araucanía,air,exit,2021,septiembre,0
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,exit,2021,septiembre,0
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,exit,2021,septiembre,0
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,exit,2021,septiembre,0
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,exit,2021,septiembre,0
Aeropuerto Iquique,Iquique,Tarapacá,air,exit,2021,septiembre,87
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,exit,2021,septiembre,14
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,exit,2021,septiembre,"92,955"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,exit,2021,septiembre,15
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,exit,2021,septiembre,"7,796"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,exit,2021,septiembre,"4,490"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,exit,2021,septiembre,0
Huemules/Balmaceda/,Coyhaique,Aysén,land,exit,2021,septiembre,482
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,exit,2021,septiembre,"1,770"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,exit,2021,septiembre,159
Paso De Chile Chico,Chile Chico,Aysén,land,exit,2021,septiembre,37
Paso Jama,San Pedro de Atacama,Antofagasta,land,exit,2021,septiembre,"1,518"
