"source","Adm0","month","passenger_volume","airport"
"New Zaeland","New Zaeland","Jan_2021",0,"SCL"
"Spain","Spain","Jan_2021",703,"SCL"
"Colombia","Colombia","Jan_2021",0,"SCL"
"Colombia","Colombia","Jan_2021",11247,"SCL"
"France","France","Jan_2021",0,"SCL"
"Australia","Australia","Jan_2021",0,"SCL"
"Argentina","Argentina","Jan_2021",9232,"SCL"
"Mexico","Mexico","Jan_2021",3023,"SCL"
"Panama","Panama","Jan_2021",8510,"SCL"
"Colombia","Colombia","Jan_2021",842,"SCL"
"Mexico","Mexico","Jan_2021",0,"SCL"
"Venezuela","Venezuela","Jan_2021",0,"SCL"
"Peru","Peru","Jan_2021",0,"SCL"
"Bolivia","Bolivia","Jan_2021",0,"SCL"
"Argentina","Argentina","Jan_2021",0,"SCL"
"Parana","Brazil","Jan_2021",0,"SCL"
"Texas","United States of America","Jan_2021",0,"SCL"
"Santa Catarina","Brazil","Jan_2021",924,"SCL"
"Goias","Brazil","Jan_2021",0,"SCL"
"Ecuador","Ecuador","Jan_2021",1458,"SCL"
"Texas","United States of America","Jan_2021",3083,"SCL"
"Parana","Brazil","Jan_2021",0,"SCL"
"Bolivia","Bolivia","Jan_2021",384,"SCL"
"Colombia","Colombia","Jan_2021",0,"SCL"
"Peru","Peru","Jan_2021",21045,"SCL"
"United Kingdom","United Kingdom","Jan_2021",0,"SCL"
"California","United States of America","Jan_2021",249,"SCL"
"Spain","Spain","Jan_2021",6010,"SCL"
"Colombia","Colombia","Jan_2021",0,"SCL"
"Argentina","Argentina","Jan_2021",0,"SCL"
"Florida","United States of America","Jan_2021",12117,"SCL"
"Uruguay","Uruguay","Jan_2021",537,"SCL"
"India","India","Jan_2021",0,"SCL"
"New York","United States of America","Jan_2021",404,"SCL"
"French Polynesia","French Polynesia","Jan_2021",0,"SCL"
"France","France","Jan_2021",2409,"SCL"
"Colombia","Colombia","Jan_2021",0,"SCL"
"Rio Grande do Sul","Brazil","Jan_2021",0,"SCL"
"Haiti","Haiti","Jan_2021",205,"SCL"
"Dominican Republic","Dominican Republic","Jan_2021",0,"SCL"
"Ecuador","Ecuador","Jan_2021",0,"SCL"
"Rio de Janeiro","Brazil","Jan_2021",4145,"SCL"
"Bahia","Brazil","Jan_2021",0,"SCL"
"Argentina","Argentina","Jan_2021",0,"SCL"
"Bolivia","Bolivia","Jan_2021",876,"SCL"
"Dominican Republic","Dominican Republic","Jan_2021",0,"SCL"
"Sao Paulo","Brazil","Jan_2021",6933,"SCL"
"Australia","Australia","Jan_2021",26,"SCL"
"Peru","Peru","Jan_2021",1155,"SCL"
"Netherlands","Netherlands","Feb_2021",0,"SCL"
"Peru","Peru","Feb_2021",253,"SCL"
"Praguay","Praguay","Feb_2021",0,"SCL"
"Georgia","United States of America","Feb_2021",2255,"SCL"
"New Zaeland","New Zaeland","Feb_2021",0,"SCL"
"Spain","Spain","Feb_2021",0,"SCL"
"Colombia","Colombia","Feb_2021",0,"SCL"
"Colombia","Colombia","Feb_2021",9734,"SCL"
"France","France","Feb_2021",0,"SCL"
"Australia","Australia","Feb_2021",0,"SCL"
"Argentina","Argentina","Feb_2021",9556,"SCL"
"Mexico","Mexico","Feb_2021",3625,"SCL"
"Panama","Panama","Feb_2021",9738,"SCL"
"Colombia","Colombia","Feb_2021",575,"SCL"
"Mexico","Mexico","Feb_2021",1533,"SCL"
"Venezuela","Venezuela","Feb_2021",0,"SCL"
"Peru","Peru","Feb_2021",0,"SCL"
"Bolivia","Bolivia","Feb_2021",0,"SCL"
"Argentina","Argentina","Feb_2021",0,"SCL"
"Parana","Brazil","Feb_2021",0,"SCL"
"Texas","United States of America","Feb_2021",0,"SCL"
"Santa Catarina","Brazil","Feb_2021",1015,"SCL"
"Goias","Brazil","Feb_2021",0,"SCL"
"Ecuador","Ecuador","Feb_2021",1238,"SCL"
"Texas","United States of America","Feb_2021",1754,"SCL"
"Parana","Brazil","Feb_2021",0,"SCL"
"Bolivia","Bolivia","Feb_2021",326,"SCL"
"Colombia","Colombia","Feb_2021",0,"SCL"
"Peru","Peru","Feb_2021",14187,"SCL"
"United Kingdom","United Kingdom","Feb_2021",0,"SCL"
"California","United States of America","Feb_2021",0,"SCL"
"Spain","Spain","Feb_2021",4136,"SCL"
"Colombia","Colombia","Feb_2021",0,"SCL"
"Argentina","Argentina","Feb_2021",0,"SCL"
"Florida","United States of America","Feb_2021",9125,"SCL"
"Uruguay","Uruguay","Feb_2021",819,"SCL"
"India","India","Feb_2021",0,"SCL"
"New York","United States of America","Feb_2021",2,"SCL"
"French Polynesia","French Polynesia","Feb_2021",0,"SCL"
"France","France","Feb_2021",1856,"SCL"
"Colombia","Colombia","Feb_2021",0,"SCL"
"Rio Grande do Sul","Brazil","Feb_2021",0,"SCL"
"Haiti","Haiti","Feb_2021",251,"SCL"
"Dominican Republic","Dominican Republic","Feb_2021",0,"SCL"
"Ecuador","Ecuador","Feb_2021",0,"SCL"
"Rio de Janeiro","Brazil","Feb_2021",3744,"SCL"
"Bahia","Brazil","Feb_2021",0,"SCL"
"Argentina","Argentina","Feb_2021",0,"SCL"
"Bolivia","Bolivia","Feb_2021",606,"SCL"
"Dominican Republic","Dominican Republic","Feb_2021",0,"SCL"
"Sao Paulo","Brazil","Feb_2021",6916,"SCL"
"Australia","Australia","Feb_2021",120,"SCL"
"Peru","Peru","Feb_2021",929,"SCL"
"Netherlands","Netherlands","Mar_2021",387,"SCL"
"Peru","Peru","Mar_2021",278,"SCL"
"Praguay","Praguay","Mar_2021",0,"SCL"
"Georgia","United States of America","Mar_2021",1932,"SCL"
"New Zaeland","New Zaeland","Mar_2021",0,"SCL"
"Spain","Spain","Mar_2021",0,"SCL"
"Colombia","Colombia","Mar_2021",0,"SCL"
"Colombia","Colombia","Mar_2021",9329,"SCL"
"France","France","Mar_2021",0,"SCL"
"Australia","Australia","Mar_2021",0,"SCL"
"Argentina","Argentina","Mar_2021",8651,"SCL"
"Mexico","Mexico","Mar_2021",3374,"SCL"
"Panama","Panama","Mar_2021",8633,"SCL"
"Colombia","Colombia","Mar_2021",621,"SCL"
"Mexico","Mexico","Mar_2021",0,"SCL"
"Venezuela","Venezuela","Mar_2021",171,"SCL"
"Peru","Peru","Mar_2021",0,"SCL"
"Bolivia","Bolivia","Mar_2021",0,"SCL"
"Argentina","Argentina","Mar_2021",0,"SCL"
"Parana","Brazil","Mar_2021",0,"SCL"
"Texas","United States of America","Mar_2021",259,"SCL"
"Santa Catarina","Brazil","Mar_2021",67,"SCL"
"Goias","Brazil","Mar_2021",0,"SCL"
"Ecuador","Ecuador","Mar_2021",1368,"SCL"
"Texas","United States of America","Mar_2021",1933,"SCL"
"Parana","Brazil","Mar_2021",0,"SCL"
"Bolivia","Bolivia","Mar_2021",320,"SCL"
"Colombia","Colombia","Mar_2021",0,"SCL"
"Peru","Peru","Mar_2021",14330,"SCL"
"United Kingdom","United Kingdom","Mar_2021",0,"SCL"
"California","United States of America","Mar_2021",0,"SCL"
"Spain","Spain","Mar_2021",4769,"SCL"
"Colombia","Colombia","Mar_2021",0,"SCL"
"Argentina","Argentina","Mar_2021",0,"SCL"
"Florida","United States of America","Mar_2021",9990,"SCL"
"Uruguay","Uruguay","Mar_2021",644,"SCL"
"India","India","Mar_2021",0,"SCL"
"New York","United States of America","Mar_2021",0,"SCL"
"French Polynesia","French Polynesia","Mar_2021",0,"SCL"
"France","France","Mar_2021",1842,"SCL"
"Colombia","Colombia","Mar_2021",0,"SCL"
"Rio Grande do Sul","Brazil","Mar_2021",0,"SCL"
"Haiti","Haiti","Mar_2021",366,"SCL"
"Dominican Republic","Dominican Republic","Mar_2021",0,"SCL"
"Ecuador","Ecuador","Mar_2021",34,"SCL"
"Rio de Janeiro","Brazil","Mar_2021",817,"SCL"
"Bahia","Brazil","Mar_2021",0,"SCL"
"Argentina","Argentina","Mar_2021",0,"SCL"
"Bolivia","Bolivia","Mar_2021",680,"SCL"
"Dominican Republic","Dominican Republic","Mar_2021",0,"SCL"
"Sao Paulo","Brazil","Mar_2021",5419,"SCL"
"Australia","Australia","Mar_2021",0,"SCL"
"Peru","Peru","Mar_2021",922,"SCL"
"Netherlands","Netherlands","Apr_2021",382,"SCL"
"Peru","Peru","Apr_2021",68,"SCL"
"Praguay","Praguay","Apr_2021",42,"SCL"
"Georgia","United States of America","Apr_2021",820,"SCL"
"New Zaeland","New Zaeland","Apr_2021",0,"SCL"
"Spain","Spain","Apr_2021",0,"SCL"
"Colombia","Colombia","Apr_2021",0,"SCL"
"Colombia","Colombia","Apr_2021",1877,"SCL"
"France","France","Apr_2021",0,"SCL"
"Australia","Australia","Apr_2021",0,"SCL"
"Argentina","Argentina","Apr_2021",1345,"SCL"
"Mexico","Mexico","Apr_2021",628,"SCL"
"Panama","Panama","Apr_2021",2194,"SCL"
"Colombia","Colombia","Apr_2021",64,"SCL"
"Mexico","Mexico","Apr_2021",0,"SCL"
"Venezuela","Venezuela","Apr_2021",0,"SCL"
"Peru","Peru","Apr_2021",0,"SCL"
"Bolivia","Bolivia","Apr_2021",0,"SCL"
"Argentina","Argentina","Apr_2021",0,"SCL"
"Parana","Brazil","Apr_2021",0,"SCL"
"Texas","United States of America","Apr_2021",773,"SCL"
"Santa Catarina","Brazil","Apr_2021",0,"SCL"
"Goias","Brazil","Apr_2021",0,"SCL"
"Ecuador","Ecuador","Apr_2021",326,"SCL"
