taxa	lat	long
EPI_ISL_2009542	-37.0520127184113	-73.0674150575137
EPI_ISL_2009544	-37.0381032371208	-73.0869867317021
EPI_ISL_2009547	-35.6735074009103	-71.6741274019053
EPI_ISL_2009548	-35.3951121277415	-71.0867899115923
EPI_ISL_2009549	-41.3903166745783	-73.5198749880295
EPI_ISL_2009550	-41.4124343465062	-73.0911665903841
EPI_ISL_2009551	-41.4593202255177	-72.6725773488732
EPI_ISL_2009552	-41.5275623414803	-73.1524964061496
EPI_ISL_2009553	-41.41948155809	-72.5592322870617
EPI_ISL_2009554	-33.0407995719669	-71.5373174524067
EPI_ISL_2009555	-53.0752451796007	-70.9265436651441
EPI_ISL_2009557	-37.0376361924744	-72.3830302224035
EPI_ISL_2009600	-18.4288197719921	-70.0269862318768
EPI_ISL_2009601	-18.6302679660948	-69.8643274852718
EPI_ISL_2009606	-27.0241155870034	-69.0051039581041
EPI_ISL_2009607	-32.9686136178688	-71.5013520559067
EPI_ISL_2009609	-36.8117545554332	-73.0037868793264
EPI_ISL_2009610	-37.2454954636544	-72.7728622413605
EPI_ISL_2009612	-37.3335231155518	-72.3258079853412
EPI_ISL_2009613	-37.3792495444658	-72.4245178941606
EPI_ISL_2009614	-29.823574094399	-71.1188967358177
EPI_ISL_2009615	-41.0627017083901	-73.044829319751
EPI_ISL_2009616	-41.0903421428482	-73.1586784204896
EPI_ISL_2009618	-41.4487246743768	-72.7880585200624
EPI_ISL_2009619	-41.4565812287659	-73.2499106373106
EPI_ISL_2009621	-39.5494127106186	-71.7268844120368
EPI_ISL_2009622	-33.4500266959039	-70.9053362214668
EPI_ISL_2009623	-33.4314015382405	-70.8121998349243
EPI_ISL_2009625	-33.125242096982	-71.5359320410527
EPI_ISL_2391006	-33.5257296384662	-70.6366904451448
EPI_ISL_2391007	-33.5257453547025	-70.6425389937025
EPI_ISL_2391010	-33.4655437201657	-70.056955608925
EPI_ISL_2391011	-33.7753116734778	-70.0233838580046
EPI_ISL_2391012	-33.5218819125539	-70.642871084442
EPI_ISL_2391032	-18.4190188148727	-69.8851115505488
EPI_ISL_2391042	-33.1408583509767	-71.5174723273011
EPI_ISL_2391044	-33.0459573149944	-71.6209068047384
EPI_ISL_2391046	-33.1031082984785	-71.7071823087409
EPI_ISL_2391047	-41.5411486501419	-72.7229970469175
EPI_ISL_2391052	-40.0506803115035	-72.6778659597285
EPI_ISL_2391054	-45.3362529149394	-71.9722627909454
EPI_ISL_2391062	-39.5160986526395	-73.1503026078244
EPI_ISL_2391064	-39.5061855628256	-73.0874341479029
EPI_ISL_2391067	-38.6082210520407	-72.2468237341979
EPI_ISL_2391072	-38.7292283537445	-72.6260532007246
EPI_ISL_2391076	-50.9945745914078	-75.0187965831618
EPI_ISL_2391077	-51.4441601996368	-73.4335424304827
EPI_ISL_2391079	-33.5336316030289	-70.6136505661364
EPI_ISL_2391080	-33.6105782626025	-69.9662728096283
EPI_ISL_2391081	-33.5415919817846	-70.6462999476166
EPI_ISL_2391082	-33.5438468517924	-70.6404843060536
EPI_ISL_2391083	-33.5270755778891	-70.6180981538868
EPI_ISL_2391088	-33.5783813509141	-70.5551130824844
EPI_ISL_2391089	-33.5331839106025	-70.6481065738552
EPI_ISL_2391090	-33.5498862221792	-70.6451752858634
EPI_ISL_2391091	-33.55472552075	-70.6310583296184
EPI_ISL_2391092	-33.5505162102492	-70.618740649122
EPI_ISL_2391104	-33.5561014274728	-70.6229246110576
EPI_ISL_2391106	-33.5209546879386	-70.6627538316137
EPI_ISL_2391107	-33.5013678940056	-70.6654047716113
EPI_ISL_2391110	-33.5310699025911	-70.6403126449786
EPI_ISL_2391111	-33.5352180855432	-70.6242309287403
EPI_ISL_2391123	-53.0527781222221	-70.9266767706413
EPI_ISL_2391126	-33.0629532809896	-71.5983786414251
EPI_ISL_2391127	-33.0954639347154	-71.5675836499634
EPI_ISL_2391128	-33.0322468258386	-71.499958306727
EPI_ISL_2391130	-33.1036037796258	-71.5823362160513
EPI_ISL_2391131	-33.0446754457429	-71.6041126158473
EPI_ISL_2391132	-33.1212044613547	-71.51532574834
EPI_ISL_2391137	-35.3628758221078	-71.5916992805655
EPI_ISL_2391145	-24.5746736065341	-68.9317886718853
EPI_ISL_2391147	-24.042192001151	-70.2674897814957
EPI_ISL_2391148	-24.3714831645667	-68.9255372070499
EPI_ISL_2391151	-24.8054982625925	-68.6523906156959
EPI_ISL_2391158	-34.157274253043	-70.7303856868905
EPI_ISL_2391166	-38.5634597733825	-72.4229496580001
EPI_ISL_2391168	-41.4499537602764	-72.5579579055996
EPI_ISL_2391169	-41.4386789712348	-73.0770076003403
EPI_ISL_2391171	-41.2517140307666	-73.5227297447443
EPI_ISL_2391178	-37.2246398509589	-71.9478006666871
EPI_ISL_2391181	-18.7179249742536	-69.8065041529002
EPI_ISL_2391182	-18.4464373200369	-69.6932279643972
EPI_ISL_2391183	-18.2695175074203	-69.9407330121949
EPI_ISL_2391205	-36.8576810118847	-73.0826727162462
EPI_ISL_2391210	-27.9503747393862	-70.8715819630136
EPI_ISL_2391216	-26.9311166306936	-70.1467583206122
EPI_ISL_2391219	-28.9439095985831	-70.7510191223727
EPI_ISL_2391224	-27.1845514292798	-69.7770076602675
EPI_ISL_2391228	-33.4637495016465	-70.7573077315172
EPI_ISL_2391229	-33.6231380441866	-70.7392677988259
EPI_ISL_2391230	-34.0292284147576	-71.0806963767135
EPI_ISL_2391239	-39.5077669464069	-72.5858009309569
EPI_ISL_2391246	-34.0883987709139	-71.6034133678309
EPI_ISL_2391247	-34.1050816011028	-71.9370831080967
EPI_ISL_2391256	-20.2081128793392	-70.1639057225262
EPI_ISL_2391258	-20.210736013041	-70.1619444589785
EPI_ISL_2391289	-53.0486567877502	-70.9486718928095
EPI_ISL_2391291	-18.7568866096459	-70.1331431412034
EPI_ISL_2391298	-24.0613029046492	-70.056113472985
EPI_ISL_2391300	-41.4512716287549	-73.1941608259338
EPI_ISL_2391301	-41.5388752107981	-72.5425271022768
EPI_ISL_2391316	-33.470840803969	-70.641277260638
EPI_ISL_2391317	-33.4326889580025	-70.8162686439288
EPI_ISL_2391320	-33.472423237609	-70.6697847539124
EPI_ISL_2391321	-33.4377476522546	-70.7610277216131
EPI_ISL_2391325	-24.8122442934655	-68.9947807600188
EPI_ISL_2391328	-24.2657621630454	-69.9819191718608
EPI_ISL_2391330	-24.4076543472699	-68.7930768957998
EPI_ISL_2391331	-23.8853788742385	-69.4731259995637
EPI_ISL_2391332	-23.841932678729	-69.6683155373508
EPI_ISL_2391341	-38.7531106609593	-72.6966221724935
EPI_ISL_2391355	-27.325269205076	-70.0833601239405
EPI_ISL_2391359	-45.8565802186126	-72.1479521772324
EPI_ISL_2391390	-33.5338876499092	-70.6707331626449
EPI_ISL_2391391	-33.5415365838741	-70.6144816068357
EPI_ISL_2391394	-33.5196849199418	-70.6180756545855
EPI_ISL_2391395	-33.5370730382302	-70.629616010274
EPI_ISL_2391398	-33.5551334209171	-70.6468881833033
EPI_ISL_2391402	-33.5349550120031	-70.6369999968977
EPI_ISL_2391403	-33.6020488596621	-70.6616927724238
EPI_ISL_2391411	-33.5408908432844	-70.624422605485
EPI_ISL_2391412	-33.5420352910605	-70.6265916425876
EPI_ISL_2391413	-33.8564017568822	-70.1161666117638
EPI_ISL_2391414	-33.5203488131555	-70.6406688560512
EPI_ISL_2391417	-33.5394784672211	-70.6378391095679
EPI_ISL_2391418	-33.5473599515417	-70.6442649427779
EPI_ISL_2391427	-33.5464096481867	-70.6479689643795
EPI_ISL_2391430	-33.5293546516164	-70.6157493043783
EPI_ISL_2391433	-35.6832805883905	-71.9159725705677
EPI_ISL_2391444	-33.4614795509082	-70.5814349332674
EPI_ISL_2391445	-33.4348879820261	-70.7056841848374
EPI_ISL_2391452	-41.4608076324224	-73.2330515935581
EPI_ISL_2391453	-41.220171658063	-73.4261802301791
EPI_ISL_2391455	-41.5597223731255	-73.1661496994973
EPI_ISL_2391456	-41.3856407787144	-72.5571128725783
EPI_ISL_2391461	-39.8248460900256	-73.3101968144913
EPI_ISL_2391467	-45.2004598372286	-71.6136563111105
EPI_ISL_2391468	-45.1544829202064	-71.5463527407065
EPI_ISL_2508548	-34.1568331831986	-70.7877431525
EPI_ISL_2508553	-34.1506657809591	-70.7784915571321
EPI_ISL_2508554	-29.9153264823302	-70.6229270257896
EPI_ISL_2508556	-36.6303260464592	-72.0704004657121
EPI_ISL_2508563	-36.8827891697434	-72.0522588180463
EPI_ISL_2508596	-41.5478731641534	-72.5070096690979
EPI_ISL_2508599	-41.4503798912994	-72.7252890251793
EPI_ISL_2508601	-41.721875011399	-73.5997835897962
EPI_ISL_2508602	-33.0617842012313	-71.3649266517745
EPI_ISL_2508603	-33.0524157202018	-71.3766019973954
EPI_ISL_2508604	-33.1215784649907	-71.3153490100558
EPI_ISL_2508605	-33.0595206601878	-71.3574213769722
EPI_ISL_2508606	-33.1190889214753	-71.4733241503013
EPI_ISL_2508609	-33.5934442554203	-70.5074982288721
EPI_ISL_2508611	-33.5434453892424	-70.5456026101751
EPI_ISL_2508612	-33.617605415932	-70.9127607464894
EPI_ISL_2508614	-33.4453085738414	-70.7204796113085
EPI_ISL_2509116	-37.0006133187855	-73.1806857357174
EPI_ISL_2509117	-36.784010207403	-72.9505570875519
EPI_ISL_2509120	-36.8355630682588	-73.1059931340513
EPI_ISL_2509123	-37.0001694217457	-73.1022581197411
EPI_ISL_2509124	-36.9363389127595	-73.1112810460388
EPI_ISL_2509125	-33.1394053777469	-71.6404080617889
EPI_ISL_2509126	-33.0647469528896	-71.6498286992121
EPI_ISL_2509127	-33.1074474580816	-71.5730599625895
EPI_ISL_2509128	-33.0597354397729	-71.5585290958737
EPI_ISL_2509146	-33.5205276548976	-70.6438474357428
EPI_ISL_2509147	-33.536696374189	-70.6479533595409
EPI_ISL_2509149	-33.455029687656	-70.639405880007
EPI_ISL_2509151	-33.5513300491952	-70.6243102299236
EPI_ISL_2509152	-33.5237021230481	-70.6422019466569
EPI_ISL_2509153	-33.5521626310192	-70.6310846987914
EPI_ISL_2509157	-33.5298488547946	-70.6223324736947
EPI_ISL_2509163	-33.522058590291	-70.6379494903157
EPI_ISL_2509164	-33.5417579725442	-70.6200688158231
EPI_ISL_2509165	-33.5469350454148	-70.6732609886141
EPI_ISL_2509168	-41.4340583141488	-73.0533191596046
EPI_ISL_2509170	-41.6940892921527	-73.3254567293351
EPI_ISL_2509173	-34.971055488825	-72.1008528270306
EPI_ISL_2509179	-35.4167651641371	-71.6392725237887
EPI_ISL_2509185	-35.3844271396451	-71.5872641021314
EPI_ISL_2509276	-36.7955198012668	-73.0656276903799
EPI_ISL_2509279	-36.9482887404629	-73.0235826250162
EPI_ISL_2509283	-27.4482927465693	-70.0834497758251
EPI_ISL_2509284	-27.1628058303765	-70.6974776403752
EPI_ISL_2509285	-28.4956366401168	-71.1553908401299
EPI_ISL_2509286	-27.7492350130204	-70.4303684693583
EPI_ISL_2509287	-27.8137207497232	-70.4469074071489
EPI_ISL_2509292	-18.7021084333092	-70.2305174796069
EPI_ISL_2509294	-45.1467545725662	-71.6079187982839
EPI_ISL_2509296	-45.9549305658096	-72.0600461215184
EPI_ISL_2509306	-38.622026849748	-72.2270815049039
EPI_ISL_2509309	-38.708163984544	-72.705999862804
EPI_ISL_2509310	-38.6923892195583	-73.3228030563637
EPI_ISL_2509316	-39.60196278501	-73.1455612583533
EPI_ISL_2509319	-33.1253379278394	-71.6631463178071
EPI_ISL_2509320	-33.1538295084324	-71.6551677964292
EPI_ISL_2509321	-33.1050253018232	-71.6367573141816
EPI_ISL_2509322	-33.0878990679256	-71.6546177525676
EPI_ISL_2509323	-33.1476103775047	-71.6472311948871
EPI_ISL_2543436	-33.3634236778871	-70.8042215901193
EPI_ISL_2543438	-36.9551745789055	-73.1235536586524
EPI_ISL_2543440	-36.8869086697362	-73.0469375319916
EPI_ISL_2543447	-33.4638569664762	-70.6781365548001
EPI_ISL_2543450	-33.3733973454333	-70.7362700181155
EPI_ISL_2543451	-33.5003319692692	-70.6576204516372
EPI_ISL_2543453	-33.4361033589182	-70.6950869150556
EPI_ISL_2543455	-33.5104155970243	-70.6615112296472
EPI_ISL_2543456	-18.512681367999	-69.7259337483148
EPI_ISL_2543472	-33.0321217330143	-71.5235044981355
EPI_ISL_2543473	-33.0225428297906	-71.5407951171946
EPI_ISL_2543475	-33.0341866259794	-71.577681769465
EPI_ISL_2543476	-33.0641118323324	-71.4842671282942
EPI_ISL_2543477	-32.999540365422	-71.5086878470206
EPI_ISL_2543478	-33.0313887569814	-71.4867090824301
EPI_ISL_2543488	-33.5414540695974	-70.6180059209015
EPI_ISL_2543490	-33.5299042776408	-70.6116811281792
EPI_ISL_2543493	-33.5485692686803	-70.6145501894784
EPI_ISL_2543495	-33.5280864371582	-70.6187781985551
EPI_ISL_2543501	-33.5401761952329	-70.6464448275332
EPI_ISL_2543502	-33.5319742438861	-70.6303396998399
EPI_ISL_2543504	-33.5518854078771	-70.6293614360741
EPI_ISL_2543505	-33.5504972845194	-70.644177216468
EPI_ISL_2543511	-33.5261412429408	-70.6294525055429
EPI_ISL_2543512	-33.5247583860156	-70.6192480606287
EPI_ISL_2543519	-33.5496449585142	-70.6167107012667
EPI_ISL_2543520	-33.5402136601684	-70.6458533421257
EPI_ISL_2543522	-33.5846912982151	-70.7265859753492
EPI_ISL_2543523	-33.5211628118699	-70.6140264347647
